order_number,barcode,quantity,description,sku,location
SO-1001,012345678905,3,Blue widget 12-pack,SKU-1001,A-01-01
SO-1002,012604686818,1,Bubble mailer #5,SKU-1008,B-08-02
SO-1002,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
SO-1003,012826693595,2,Box cutter,SKU-1014,B-05-08
SO-1003,012382680039,1,Red widget 12-pack,SKU-1002,B-02-08
SO-1003,012345678905,2,Blue widget 12-pack,SKU-1001,A-01-01
SO-1003,012419681169,4,Packing tape 48mm,SKU-1003,C-03-03
SO-1003,012567685682,2,Bubble mailer #2,SKU-1007,A-07-07
SO-1004,013011699248,1,Dunnage air pillows,SKU-1019,A-01-07
SO-1004,012641687946,2,Corrugated box 12x12x12,SKU-1009,C-09-09
SO-1004,013270707159,4,Kraft paper roll 30in,SKU-1026,B-08-08
SO-1004,013344709416,3,Strapping buckle (1000),SKU-1028,D-01-10
SO-1005,012493683424,3,Cable ties 8in (100),SKU-1005,E-05-05
SO-1005,012567685682,1,Bubble mailer #2,SKU-1007,A-07-07
SO-1005,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
SO-1006,012456682297,3,Stretch wrap 18in,SKU-1004,D-04-10
SO-1006,012752691337,1,Nitrile gloves L (100),SKU-1012,F-03-06
SO-1006,013344709416,4,Strapping buckle (1000),SKU-1028,D-01-10
SO-1006,013048700375,1,Hand truck wheel,SKU-1020,B-02-02
SO-1007,012419681169,3,Packing tape 48mm,SKU-1003,C-03-03
SO-1007,012974698114,2,Pallet label sleeve,SKU-1018,F-09-12
SO-1007,012678689074,1,Corrugated box 18x12x6,SKU-1010,D-01-04
SO-1007,013307708289,1,Edge protector 2in,SKU-1027,C-09-03
SO-1008,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
SO-1008,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
SO-1009,012789692468,3,Safety glasses clear,SKU-1013,A-04-01
SO-1010,013085701502,3,Shelf label holder,SKU-1021,C-03-09
SO-1010,013307708289,3,Edge protector 2in,SKU-1027,C-09-03
SO-1010,012752691337,2,Nitrile gloves L (100),SKU-1012,F-03-06
SO-1010,012530684551,3,Label roll 4x6 (250),SKU-1006,F-06-12
